Timestamp,program,number of courses,year,curricular activities,time after  curricular activities,courses in week,"7. On average, how many assignments do you receive per week?",8.How often do you submit these assignments on time?,9. Do you wait until the last minute to study before examination?,10. Are you able to cover enough topics  before examination?,"11. In preparing for an academic work deadline, I often waste my time by doing other things ",12. I would classify myself as someone who is generally:
2021/07/18 6:36:35 PM GMT,Admin,6,Third,"No(If no,please move to question 6)",,2,1,Very Often,No,No,Sometimes,Self motivated and sometimes gets things done ahead of time
2021/07/18 7:01:22 PM GMT,B/A,2,Third,"No(If no,please move to question 6)",,5,3,Very Often,Sometimes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/18 7:19:57 PM GMT,Bsc Mechanical engineering ,7,First,"No(If no,please move to question 6)",Not at all,1,3,Very Often,Yes,No,Sometimes,Puts things off until the last minute or doesn't complete them
2021/07/18 7:26:36 PM GMT,B.A. Economics & Chinese,7,Fourth,"No(If no,please move to question 6)",,4,4,Very Often,Sometimes,No,Sometimes,Self motivated and always gets things done on time
2021/07/18 7:44:58 PM GMT,BSc. Information Technology ,6,Third,"No(If no,please move to question 6)",,4,6,Very Often,No,Yes,Sometimes,Self motivated and always gets things done on time
2021/07/18 7:53:53 PM GMT,Business Administration ,6,Third,"No(If no,please move to question 6)",,10,3,Very Often,Sometimes,Yes,Never,Self motivated and always gets things done on time
2021/07/18 8:04:18 PM GMT,Architecture ,5,Third,Yes,Sometimes,8,6,Very Often,Sometimes,Yes,Never,Self motivated and sometimes gets things done ahead of time
2021/07/18 8:32:49 PM GMT,Bsc. Statistics ,7,Second,"No(If no,please move to question 6)",,4,2,Very Often,No,No,Sometimes,Needs reminding to get things done on time
2021/07/18 8:35:43 PM GMT,Accounting and finance ,9,First,Yes,Sometimes,7,2,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/18 8:48:56 PM GMT,BSC.statistics,7,Second,"No(If no,please move to question 6)",,4,2,Very Often,No,No,Sometimes,Needs reminding to get things done on time
2021/07/18 9:11:31 PM GMT,Midwifery,7,First,"No(If no,please move to question 6)",Always,5,3,Very Often,Yes,Yes,Never,Self motivated and always gets things done on time
2021/07/18 9:15:38 PM GMT,Chemistry ,7,First,"No(If no,please move to question 6)",,4,3,Very Often,Sometimes,Yes,Never,Self motivated and always gets things done on time
2021/07/18 9:16:29 PM GMT,Economics ,7,Third,Yes,Always,7,5,Very Often,No,Yes,Never,Self motivated and always gets things done on time
2021/07/18 9:16:32 PM GMT,BS ECONOMICS,7,Third,Yes,Sometimes,4,2,Very Often,No,No,Never,Self motivated and always gets things done on time
